zha,ja,cha,ja
zhai,jai,chai,jai
zhan,jan,chan,jan
zhang,jang,chang,jang
zhao,jau,chao,jau
zhe,je,che,je
zhen,jen,chen,jen
zheng,jeng,cheng,jeng
zhi,jr,chih,jy
zhong,jung,chung,jong
zhou,jou,chou,jou
zhu,ju,chu,ju
zhua,jwa,chua,jua
zhuai,jwai,chuai,juai
zhuan,jwan,chuan,juan
zhuang,jwang,chuang,juang
zhui,jwei,chui,juei
zhun,jwun,chun,juen
zhuo,jwo,cho,juo
zi,dz,tzu,tzy
zong,dzung,tsung,tzong
zou,dzou,tsou,tzou
zu,dzu,tsu,tzu
zuan,dzwan,tsuan,tzuan
zui,dzwei,tsui,tzuei
zun,dzwun,tsun,tzuen
zuo,dzwo,tso,tzuo
